impl_key,effect_slug,source_path,clause,role,aspect,resource,observed_text,implied_text,inference_kind,description,operator,value_si,si_unit,value_text,confidence,notes,updated
meissner:emergent_output:perfect-diamagnetism,meissner,library/meissner.md,emergent_output,output,output,dimensionless,"In the fully expelled state the volume susceptibility is χ=-1 (SI) and the interior induction is B=0, aside from a surface layer of depth λ.",A field-free interior behind a surface layer of depth λ is the stable output of a fully provisioned screening buffer.,relabel,"Complete Meissner expulsion is perfect diamagnetism of the expelled volume, held at zero continuous power.",eq,-1.0,1,χ = -1 (SI); B = 0,high,This entry owns field expulsion / λ. Superconductivity owns R=0.,2026-08-17
meissner:energy_barrier:hc-hc1,meissner,library/meissner.md,energy_barrier,requirement,threshold,b_field,"Complete expulsion (χ=-1, B=0 in the bulk) holds for type-I superconductors at H < Hc. Type-I Hc(0): Al μ0 Hc ≈ 10.5 mT; Pb ≈ 80 mT; Sn ≈ 30 mT. Type II: complete expulsion only for H < Hc1.",Hc (type I) and Hc1 (type II) are the load-bearing field gates for complete expulsion. Holding the expelled state costs no continuous power.,envelope,"Complete field expulsion is gated by Hc or Hc1, not by a static anisotropy latch.",max,0.08,T,H < Hc (type I; Pb ≈ 80 mT) or H < Hc1 (type II),high,value_si is Pb μ0 Hc. Type-II Hc1 and the mixed state are owned by type-ii-critical-field.,2026-08-17
meissner:failure_mode:above-hc1,meissner,library/meissner.md,failure_mode,failure,threshold,b_field,Type I: H > Hc → field floods and superconductivity itself collapses. Type II: H > Hc1 → complete expulsion fails (vortices enter) while R=0 can persist. H > Hc2 → condensate gone.,Crossing the complete-expulsion gate is a Meissner failure even when the R=0 channel is still open.,relabel,The Meissner artifact dies at Hc or Hc1; that is not the same collapse as R=0.,min,0.08,T,H > Hc (type I) or H > Hc1 (type II),high,Split from superconductivity is required by the type-II mixed state. Hc2 is owned by type-ii-critical-field.,2026-08-17
meissner:failure_mode:above-tc,meissner,library/meissner.md,failure_mode,failure,threshold,temperature,"λ(T) and ξ(T) diverge as T→Tc; Hc, Hc1, and Hc2 fall to zero there. Warming through Tc ends the expulsion.",Thermal closure of the parent gap sends the screening depth to infinity and the expelled state disappears.,relabel,Expulsion ends at Tc with the parent condensate.,min,,,T > Tc,high,"Material Tc values are tabulated on superconductivity. Type-I intermediate state from a finite demagnetizing factor is a shape-dependent partition, not a second condensate.",2026-08-17
meissner:failure_mode:thin-film,meissner,library/meissner.md,failure_mode,failure,scale,length,"Thin films with thickness d ≪ λ do not fully expel; the effective screening is incomplete. That is a buffer-starvation form of the same effect, not a different Tc.",Spatial under-provisioning of the screening buffer leaves a nonzero interior field at any H < Hc1.,envelope,Films thinner than λ starve the expulsion layer.,max,4.5e-08,m,d ≪ λ,high,"Analogous to reflection's few-nanometre continuity / penetration cliff, at a different length.",2026-08-17
meissner:hardware_scale:lambda-buffer,meissner,library/meissner.md,hardware_scale,requirement,scale,length,London penetration depth λ(T) is the measured spatial buffer: B decays as e^{-x/λ}. Conventional elemental λ(0) sits in the 40–50 nm class (Nb and Pb near 40 nm; Al often quoted near 50 nm). YBCO λ_ab(0) sits in the 100–160 nm class.,A superconducting layer at least of order λ thick is required before the interior field is fully expelled. This entry owns λ; superconductivity owns R=0.,relabel,"Complete expulsion needs a screening buffer of tens of nanometres in conventional elements, of order 100 nm in YBCO's ab plane.",range,4.5e-08,m,λ(0) ~ 40–50 nm (elements); YBCO λ_ab ~ 100–160 nm,high,"value_si is the conventional-element mid-class. Precise λ(0) of any one film is medium (mean free path, surface, anisotropy). ξ and the vortex lattice are owned by type-ii-critical-field.",2026-08-17
melting:clock_latency:not-debye-overrun,melting,library/melting.md,clock_latency,requirement,latency,time,Thermal vibration of the ions has a spectral ceiling at the Debye / zone-boundary clock. Melting is not that clock being exceeded. Nucleation and front propagation set the laboratory time to complete the conversion and are not a single material pin.,"The conversion clock is nucleation and front motion, unpinned. Exceeding Θ_D is not melting.",open,"Melting is loss of restoring couplings, not Debye-clock overrun. No single laboratory conversion time is extracted.",,,,nucleation / front; not Θ_D overrun,medium,"Pb: Θ_D ∼ 100 K, T_m ≈ 600 K. Diamond Θ_D class ∼ 2000 K; 1 atm solid sublimes rather than a tungsten-style melt.",2026-08-17
melting:consistency_gap:lindemann-not-derived,melting,library/melting.md,consistency_gap,gap,threshold,dimensionless,"Lindemann criterion (conventional, not a derivation): the crystal is near melting when √⟨u²⟩/a ∼ 0.1–0.15. The number correlates with T_m across many solids; it does not predict T_m from node rules, and the prefactor is structure-dependent.","QSA takes measured T_m as the empirical threshold. Lindemann is a displacement consistency check, not a derived barrier.",open,"The mapping does not close on why ice, Al, and W fail at those temperatures. Lindemann is not a node-level derivation of T_m.",range,0.12,1,√⟨u²⟩/a ∼ 0.1–0.15 near T_m (criterion),medium,"File-level mapping is Medium while T_m data are High. Cohesive well depth, coordination, and anharmonicity (thermal-expansion) enter and are not yet primitive node specifications. Soft-mode melting belongs with phonon-dispersion. value_si is the 0.1–0.15 window midpoint.",2026-08-17
melting:emergent_output:coexistence-tm,melting,library/melting.md,emergent_output,output,output,temperature,"Below T_m, a solid with Bragg order and a shear modulus. At T_m, a first-order conversion whose temperature is a material constant at given pressure. Above T_m, a fluid without that grid.",The stable product is the coexistence temperature itself plus the solid/fluid sides of the cliff.,relabel,The machine’s output is an ordered shear-carrying solid below T_m and a first-order conversion at the measured pin.,range,,K,T_m(P) (ice 273.15 K; Al 933 K; W 3695 K at 1 atm),high,Clapeyron organizes dT_m/dP = ΔV/ΔS; ice ΔV < 0. It does not give T_m(P=0).,2026-08-17
melting:energy_barrier:measured-tm,melting,library/melting.md,energy_barrier,requirement,threshold,temperature,Measured 1 atm melting points: ice T_m = 273.15 K; aluminum T_m = 933 K; tungsten T_m = 3695 K. These are empirical failure temperatures of the respective grids. The latent heat is the energy that must be supplied at coexistence. There is no simple anisotropy-style barrier KV from which T_m is computed in this mapping.,The load-bearing threshold is the measured T_m: kT in the presence of the crystal’s cohesion is then sufficient to unbind the ordered grid.,relabel,"T_m is the measured thermal gate of the grid, not a derived KV-style barrier.",range,,K,ice 273.15 K; Al 933 K; W 3695 K,high,"value_si left null: three empirical pins, not one universal T_m. First-order for these three: latent heat, volume jump, two-phase plateau.",2026-08-17
melting:failure_mode:nonthermal-grid-loss,melting,library/melting.md,failure_mode,failure,barrier,other,"The grid can also be destroyed below T_m by large plastic strain, radiation amorphization, or dissolution.","Those are lattice-destruction routes, not the thermal coexistence cliff.",envelope,"Plastic strain, radiation, or dissolution can erase the grid without reaching T_m.",,,,plastic strain / radiation amorphization / dissolution,high,"Latch entries may list lattice destruction as a secondary failure; they own the latch, this file owns the grid.",2026-08-17
melting:failure_mode:tm-cliff,melting,library/melting.md,failure_mode,failure,threshold,temperature,"T → T_m at the ambient pressure → loss of Bragg order, loss of static shear, conversion to a fluid that carries only compressional sound. Superheating can temporarily overshoot T_m; the equilibrium collapse point remains the measured coexistence temperature.",Thermal unbinding of the ordered grid at the measured coexistence T_m. Shear sound and static shear die with the solid.,relabel,"The grid fails at T_m: Bragg gone, G → 0, only compressional sound remains.",min,,K,T ≥ T_m (ice 273.15 K; Al 933 K; W 3695 K),high,Cross-cite speed-of-sound (no shear in the melt) and elasticity (G → 0).,2026-08-17
melting:hardware_scale:bragg-grid,melting,library/melting.md,hardware_scale,requirement,scale,node_count,A crystalline grid large enough to produce Bragg peaks and a macroscopic shear modulus. A few-atom cluster has no bulk T_m; a glass has no Bragg grid. Glasses and amorphous solids do not have this T_m cliff; their softening is a viscosity / timescale crossover.,"The sharp hardware is the ordered lattice itself, not a universal millimetre envelope.",envelope,"Melting is a property of a Bragg-ordered, shear-carrying grid. Clusters and glasses are different machines.",,,,Bragg grid + shear; no universal mm envelope,high,,2026-08-17
mossbauer-effect:clock_latency:nuclear-lifetime,mossbauer-effect,library/mossbauer-effect.md,clock_latency,requirement,latency,time,57Fe τ≈141 ns sets Γ. Lattice vibrations that kill f are Debye/phonon clocks.,Nuclear lifetime plus host phonon clock.,relabel,Γ from nuclear τ; f from the grid clock.,approx,1.41e-07,s,τ(57Fe)≈141 ns,high,,2026-08-17
mossbauer-effect:consistency_gap:line-not-underthreshold,mossbauer-effect,library/mossbauer-effect.md,consistency_gap,gap,threshold,energy,"14.4 keV is the line energy, not an under-threshold non-occurrence of this channel.",Do not file as an energy-gate whose collapse is Eγ<14.4 keV.,open,"Lattice-mode payload, not a 14.4 keV under-threshold gate.",,,,"Eγ is the line, not the cliff",high,,2026-08-17
mossbauer-effect:emergent_output:recoilless-line,mossbauer-effect,library/mossbauer-effect.md,emergent_output,output,output,other,"Recoilless resonant absorption, scanned at mm/s Doppler velocities.",The lattice-enabled nuclear line is the output.,envelope,Recoilless resonance as the stable output.,,,,recoilless absorption,high,,2026-08-17
mossbauer-effect:energy_barrier:line-width,mossbauer-effect,library/mossbauer-effect.md,energy_barrier,requirement,threshold,energy,14.4 keV line of width Γ≈4.7 neV. The lattice must swallow ER so the lines overlap.,Nuclear line plus lattice recoilless condition. Not an under-threshold 14.4 keV gate.,envelope,Overlap within Γ is the operating window.,eq,2.31e-15,J,Eγ=14.4 keV; Γ~neV,high,,2026-08-17
mossbauer-effect:failure_mode:no-lattice,mossbauer-effect,library/mossbauer-effect.md,failure_mode,failure,threshold,temperature,"Gas, liquid, melt, or high T (f→0) destroys the resonance.",Grid loss or hot <x²> is the collapse.,envelope,No recoilless fraction ⇒ no Mössbauer channel.,,,,"f→0 (T, melt, gas)",high,,2026-08-17
mossbauer-effect:hardware_scale:bound-host,mossbauer-effect,library/mossbauer-effect.md,hardware_scale,requirement,scale,volume,A crystalline host that can take nuclear recoil as a whole. Free 57Fe has ER≈2 meV ≫ Γ≈4.7 neV and no overlap.,The lattice is the buffer. A free atom is under-provisioned.,envelope,Recoilless resonance needs a bound host.,,,,solid host; not a free atom,high,,2026-08-17
muon-catalyzed-fusion:clock_latency:muon-lifetime,muon-catalyzed-fusion,library/muon-catalyzed-fusion.md,clock_latency,requirement,latency,time,Muon mean lifetime τμ = 2.197e-6 s (PDG 2026). Formation and fusion inside a formed dtμ ion sit far below that clock.,τμ is the hard stop. Observation after the muon population is gone is not this effect.,relabel,"The catalysis clock is the muon lifetime, not a lattice attempt time.",eq,2.197e-06,s,τμ = 2.197 μs,high,"Lifetime taken from PDG, same honesty as me on pair-production.",2026-08-17
muon-catalyzed-fusion:consistency_gap:not-a-latch,muon-catalyzed-fusion,library/muon-catalyzed-fusion.md,consistency_gap,gap,power,energy,Zero muons after the beam is dark means zero catalysis. There is no remnant fusion cycle at zero muon population.,This is not a 0 W latch. Identifying it with a defect-pinned interstitial cell is a mapping error.,open,"Honest exclusion: μCF is a spent-node gate, not a hold-power memory.",,,,not 0 W hold after muon gone,high,Contrast membership on anisotropy-latch. Does not add a nuclear effect to the latch family.,2026-08-17
muon-catalyzed-fusion:emergent_output:fusions-per-muon,muon-catalyzed-fusion,library/muon-catalyzed-fusion.md,emergent_output,output,output,dimensionless,Dense d–t yields of order 100–150 fusions per stopped muon (Los Alamos / Jones class ~150). Products appear only while muons are present.,"Stable output is fusion-product yield per stopped muon, set by supply × cycle × (1−ωs), only while muons are present.",envelope,"The machine emits a per-muon fusion yield, not a remnant cell at 0 W.",range,150.0,1,~100–150 dt fusions / muon,high,value_si is the Jones LAMPF-class upper end. Not a net-energy factory number.,2026-08-17
muon-catalyzed-fusion:energy_barrier:mass-rescaled-well,muon-catalyzed-fusion,library/muon-catalyzed-fusion.md,energy_barrier,requirement,threshold,energy,"mμ c² = 105.658 MeV; mμ/me ≈ 206.8. The muonic Bohr radius is ~a0/207, so dtμ / ddμ holds the nuclei close enough for fusion on a timescale below τμ.",Not a latch. The muon mass rescales the well so the nuclear conversion occurs. The product leaves; the muon is recycled until it decays or sticks.,envelope,"The gate opener is the muon mass ratio, not lattice strain and not KV.",eq,1.693e-11,J,mμ c² = 105.658 MeV,high,"value_si is the muon rest energy. Q(dt)=17.6 MeV is the fusion release, not the gate that opens the cycle.",2026-08-17
muon-catalyzed-fusion:failure_mode:decay-or-sticking,muon-catalyzed-fusion,library/muon-catalyzed-fusion.md,failure_mode,failure,threshold,dimensionless,Each muon is erased by decay at τμ or by α-sticking. dt sticking ωs is 0.5–0.6% class; dd sticking is ~10% class. Yield is ~100–150 dt fusions per muon.,"Sticking and decay cap the cycle. They are erase of the catalyst, not a latch blocking temperature.",envelope,Decay and sticking are the yield cliffs of this gate.,approx,0.0055,1,ωs(dt) ~ 0.5–0.6%,high,value_si is the midpoint of the dt sticking class. Any one target’s exact ⟨n⟩ is medium.,2026-08-17
muon-catalyzed-fusion:failure_mode:no-muon,muon-catalyzed-fusion,library/muon-catalyzed-fusion.md,failure_mode,failure,scale,node_count,The same hydrogen-isotope target with no muons produces no catalysis cycle. Cosmic-ray flux does not become this cycle just because a hydride is present.,Missing muon is the collapse of the effect. Lattice compression and H/M do not substitute for the node.,relabel,No muon ⇒ channel closed. Twin of pair-production’s missing recoil partner.,eq,0.0,1,zero muons,high,This is the contrast to any muon-free LENR cell.,2026-08-17
muon-catalyzed-fusion:hardware_scale:muon-plus-two-nuclei,muon-catalyzed-fusion,library/muon-catalyzed-fusion.md,hardware_scale,requirement,scale,node_count,One muon plus two hydrogen-isotope nuclei (a dtμ or ddμ ion) is the hardware for one catalysis cycle. A metal lattice is not required. Target density is capacity.,N = 1 muon + two nuclei. No collective metal film and no defect-cell KV. Density raises the cycle rate; it does not open a muon-free cell.,envelope,The gate hardware is one muon and two hydrogen nuclei. Target volume is capacity.,eq,1.0,1,N = 1 muon + 2 nuclei,high,"Same N=1 family as photoelectric, with a different particle.",2026-08-17
neutron-gravitational-states:clock_latency:bounce,neutron-gravitational-states,library/neutron-gravitational-states.md,clock_latency,requirement,latency,time,Bounce / dwell on the mm/s UCN scale (ms–s).,Not a nuclear lifetime.,envelope,UCN bounce clock.,,,,ms–s bounce,medium,,2026-08-17
neutron-gravitational-states:consistency_gap:gapped-name-loose,neutron-gravitational-states,library/neutron-gravitational-states.md,consistency_gap,gap,barrier,energy,"The spacing is gravitational, not a pairing gap. No charge, no λ, no Tc.",Do not fold into gapped-condensate. Same honesty as He-4.,open,"Family name is loose; leftover, not a tenth design.",,,,peV gravity ≠ 2Δ,medium,,2026-08-17
neutron-gravitational-states:emergent_output:height-steps,neutron-gravitational-states,library/neutron-gravitational-states.md,emergent_output,output,output,length,"Stepwise transmission versus absorber height, first step at the z1 ~ 14 μm class.",Discrete gravitational states as the stable output.,envelope,Height steps at the Airy turning points.,,,,steps at zn,high,,2026-08-17
neutron-gravitational-states:energy_barrier:peV-ladder,neutron-gravitational-states,library/neutron-gravitational-states.md,energy_barrier,requirement,barrier,energy,"Ground-state energy E1 ≈ 1.4 peV. Neutrons are selected as UCN, not thermalized into this well.",Gravitational level spacing is the protecting gap. Family name gapped is loose.,envelope,"peV gravitational ladder, not a pairing gap.",approx,2.24e-34,J,E1 ≈ 1.4 peV,high,,2026-08-17
neutron-gravitational-states:failure_mode:absorber-below-z1,neutron-gravitational-states,library/neutron-gravitational-states.md,failure_mode,failure,scale,length,Absorber below z1 passes essentially no ground-state neutrons. Neutrons that are not UCN are not bound.,Under-height slit or wrong buffer collapses the steps.,relabel,z < z1 or not-UCN is the collapse.,max,1.37e-05,m,z < z1,high,,2026-08-17
neutron-gravitational-states:hardware_scale:ucn-mirror,neutron-gravitational-states,library/neutron-gravitational-states.md,hardware_scale,requirement,scale,length,UCN plus a horizontal neutron mirror plus g. Ground-state height z1 ≈ 13.7 μm.,"The spatial buffer is the gravitational well height, not a metal film.",envelope,UCN + mirror + g over ~10 μm is the hardware.,approx,1.37e-05,m,z1 ≈ 13.7 μm,high,,2026-08-17
pair-production:clock_latency:qed,pair-production,library/pair-production.md,clock_latency,requirement,latency,time,"The conversion, when allowed, is a high-energy QED process on timescales far below any laboratory clock. Subsequent slowing of the pair and annihilation are later steps.",Pair-creation latency is not a laboratory-scale clock. Annihilation witnesses the conversion; it is not the gate.,envelope,"The conversion, when allowed, is already complete on any laboratory clock.",,,,≪ laboratory clock,high,No numerical QED time is given; do not invent ħ/2mec².,2026-08-17
pair-production:consistency_gap:underived-me,pair-production,library/pair-production.md,consistency_gap,gap,threshold,energy,QSA takes me c² = 511 keV as a measured node specification. It does not here derive the electron mass from a more primitive resource count.,The collapse clauses (Eγ < 1.022 MeV; no recoil partner) do not depend on that derivation.,open,The rest mass is located and measured; it is not derived from node rules.,,,,"mec² taken, not derived",medium,File-level mapping remains High; this clause is the underived step.,2026-08-17
pair-production:emergent_output:annihilation-line,pair-production,library/pair-production.md,emergent_output,output,output,energy,Annihilation of a stopped positron on an electron returns two 511 keV photons. That line is the macroscopic witness that a pair was produced.,"A material- and energy-dependent pair yield above 1.022 MeV, followed by the 511 keV annihilation line, as the synchronized output of many independent photon–nucleus conversions.",relabel,The machine’s stable product is a pair yield plus the 511 keV line.,eq,8.187e-14,J,511 keV annihilation line,high,value_si is one 511 keV photon.,2026-08-17
pair-production:energy_barrier:two-mc2,pair-production,library/pair-production.md,energy_barrier,requirement,threshold,energy,"Rest energy me c² = 510.999 keV ≈ 511 keV. The pair gate in the field of a heavy nucleus is Eγ^th = 2 me c² = 1.022 MeV. Finite nuclear mass raises the exact kinematic threshold by a fractional ~ me/M, negligible for ordinary nuclei.",The operating gate is the rest-mass sum 2me c². It is not the unbinding of a pre-existing electron. No optical photoelectric event opens this channel.,relabel,"Pair production is a rest-mass creation gate, not an ionization gate.",eq,1.637e-13,J,2mec² = 1.022 MeV,high,Forbidden below 2mec² even in a fully ionized plasma.,2026-08-17
pair-production:failure_mode:no-recoil-partner,pair-production,library/pair-production.md,failure_mode,failure,scale,node_count,"A photon in free space, with no nearby mass to recoil, cannot satisfy energy and momentum together; the channel remains closed at every energy.",Spatial under-provisioning closes the channel even for Eγ > 1.022 MeV.,relabel,"Missing recoil partner is a spatial-buffer collapse, twin of the energy cliff.",,,,no nearby nucleus / empty space,high,"Two-photon pair production in an intense photon bath is a noted extension of the same rest-mass gate, not required for the nuclear-field case.",2026-08-17
pair-production:failure_mode:triplet-threshold,pair-production,library/pair-production.md,failure_mode,failure,threshold,energy,Pair production on an electron (triplet production) opens only at 4 me c² = 2.044 MeV.,"An electron as the only recoil partner keeps the gate shut until 2.044 MeV. Same conversion, lighter momentum sink.",relabel,Wrong partner raises the rest-mass gate; it does not invent a second family.,max,3.275e-13,J,Eγ < 2.044 MeV (electron partner),high,,2026-08-17
pair-production:failure_mode:under-threshold,pair-production,library/pair-production.md,failure_mode,failure,threshold,energy,"Below 1.022 MeV the pair channel is simply absent: no positrons, no subsequent 511 keV annihilation line from this process.",Under-threshold input is the non-occurrence of the conversion. That is the collapse of the effect.,relabel,Below 2mec² the pair gate stays shut.,max,1.637e-13,J,Eγ < 1.022 MeV,high,Photoelectric absorption and Compton scattering may still remove photons; they are other channels.,2026-08-17
pair-production:hardware_scale:photon-plus-nucleus,pair-production,library/pair-production.md,hardware_scale,requirement,scale,node_count,One photon plus one nearby nucleus (or other recoil partner) is the hardware for one conversion. Isolated photons in empty space do not convert. A macroscopic rate then scales with nuclear column density.,"“Nearby” is a spatial-buffer condition: the photon must pass through the Coulomb field of a mass that can recoil. Empty space, however energetic the photon, is under-provisioned.",envelope,"Hardware is one photon plus one recoil partner. The spatial clause is mandatory, not decorative.",,,,1 photon + 1 nearby nucleus,high,"No Coulomb-radius length is given; do not invent one. Bethe–Heitler yield scales as Z², a capacity of the nuclear partner, not a second energy gate.",2026-08-17
permanent-magnet-latch:clock_latency:larmor,permanent-magnet-latch,library/permanent-magnet-latch.md,clock_latency,requirement,speed,frequency,Free-electron spin precession γ/2π ≈ 28.025 GHz/T.,"Baseline single-spin clock of the latch. Write/erase of a hard magnet is set by field sweep and wall motion, not this carrier.",relabel,The latch has a 28 GHz/T precession clock; holding the state does not require running that clock as a power draw.,eq,28025000000.0,Hz/T,28.025 GHz/T,high,si_unit is Hz per tesla; value_si is the 1 T frequency.,2026-08-17
permanent-magnet-latch:consistency_gap:mesoscale-coercivity,permanent-magnet-latch,library/permanent-magnet-latch.md,consistency_gap,gap,threshold,b_field,Technical coercivity is microstructure-dependent and much less than Ha ~7–8 T.,"QSA does not yet have a clean buffer/barrier specification for the mesoscale write threshold (nucleation, grain boundaries, dipolar coupling).",open,The latch-vs-soft and Tc/KV collapses do not depend on closing coercivity; the write field is still underived.,,,,Hc ≪ Ha; mesoscale,medium,File-level mapping remains High.,2026-08-17
permanent-magnet-latch:emergent_output:zero-hold-power,permanent-magnet-latch,library/permanent-magnet-latch.md,emergent_output,output,power,energy,A static magnet at rest produces no continuous I²R or hysteresis heat.,"Stable directional moment and static field/force at zero continuous power, inside the Tc / KV / lattice envelope.",relabel,Holding the latched state costs zero watts. Energy is the write/erase loop area only.,eq,0.0,W,0 W hold,high,,2026-08-17
permanent-magnet-latch:energy_barrier:anisotropy,permanent-magnet-latch,library/permanent-magnet-latch.md,energy_barrier,requirement,barrier,energy,Uniaxial anisotropy density K1 ≈ 4.5 MJ/m³; per-grain barrier ΔE ≈ K1V. Holding costs zero continuous power.,Magnetocrystalline (or shape) anisotropy locks orientation. Energy is spent only on write/erase (hysteresis-loop area).,relabel,The latch exists because a barrier protects orientation at zero hold-power.,approx,4500000.0,J/m^3,K1 ≈ 4.5 MJ/m³,high,"Barrier energy is K1V, not K1 alone.",2026-08-17
permanent-magnet-latch:failure_mode:curie,permanent-magnet-latch,library/permanent-magnet-latch.md,failure_mode,failure,threshold,temperature,Nd2Fe14B Tc ≈ 585 K (312 °C). Commercial grades ~310–400 °C with Co substitution.,kT exceeding the anisotropy barrier at Tc destroys phase coherence across the array → net-zero magnetization.,relabel,Thermal over-barrier collapse of the latch at the Curie point.,min,585.0,K,T > Tc ≈ 585 K (Nd2Fe14B),high,,2026-08-17
permanent-magnet-latch:failure_mode:lattice-shock,permanent-magnet-latch,library/permanent-magnet-latch.md,failure_mode,failure,barrier,other,"Mechanical shock, plastic deformation, and decrepitation can destroy remanence without reaching Tc.",Lattice / grain-structure failure writes error across the array by destroying the directional matrix.,envelope,The latch matrix is the crystal. Destroy the grid and the barrier goes with it.,,,,shock / plastic strain / decrepitation,high,Lattice entry owns the grid; this row owns the latch erasure.,2026-08-17
permanent-magnet-latch:failure_mode:superparamagnetic-volume,permanent-magnet-latch,library/permanent-magnet-latch.md,failure_mode,failure,scale,volume,KV ≲ 25 kT at operating temperature randomizes the grain on laboratory time.,"Same barrier, under-provisioned volume. Spatial-buffer twin of the thin-film mirror.",envelope,Too-small grains erase the latch thermally without reaching Tc.,max,2.3e-26,m^3,KV ≲ 25 kT (~30 nm NdFeB),high,Primary owner of this collapse is superparamagnetism.,2026-08-17
permanent-magnet-latch:hardware_scale:latch-cell,permanent-magnet-latch,library/permanent-magnet-latch.md,hardware_scale,requirement,scale,volume,Nd2Fe14B K1 ≈ 4.5 MJ/m³. Laboratory stability convention KV ≳ 25 kT gives V ≈ 2.3e-26 m³ (~30 nm linear) at 300 K.,A crystalline anisotropy cell large enough that K1V ≳ 25 kT is the latch hardware. Soft matrices lack this barrier.,derived,"The sharp hardware cliff is the grain-scale latch cell, not the sample envelope.",min,2.3e-26,m^3,V ≳ 2.3e-26 m³ (~30 nm); KV ≳ 25 kT,high,"25 kT is a timescale convention, not a single experimental cliff. Cross-cite superparamagnetism.",2026-08-17
permanent-magnet-latch:hardware_scale:macro-moment,permanent-magnet-latch,library/permanent-magnet-latch.md,hardware_scale,requirement,capacity,node_count,A usable motor force is F = ∇(m·B) from a large aligned population. There is no universal millimetre-scale cliff.,Macroscopic force is synchronized output of many latched grains. Force scales with aligned moment; the sharp cliff stays at the grain.,open,"The sample envelope is a capacity, not a second spatial cliff. No single minimum N for a usable force is extracted.",,,,force scales with aligned m; no universal N,medium,,2026-08-17
phonon-dispersion:clock_latency:allowed-clock-table,phonon-dispersion,library/phonon-dispersion.md,clock_latency,requirement,speed,frequency,Maximum phonon frequencies sit in the few-to-tens-of-THz class (Al’s spectrum ends near 10 THz; diamond’s near 40 THz). Si zone-centre Raman is 15.5 THz; diamond 40 THz (1332 cm⁻¹). Acoustic clocks run from zero up to the zone-boundary frequency of that branch.,ω_s(q) is the allowed-clock table. Nothing in the lattice oscillates as a phonon faster than the highest measured branch.,envelope,"The lattice’s mechanical clocks are the measured branches, from acoustic zero up to a material-typical THz ceiling.",range,10000000000000.0,Hz,few–tens of THz (Al ~10 THz; diamond ~40 THz),high,value_si is Al’s ~10 THz ceiling as a representative. Optical zone-centre pins: Si 15.5 THz; diamond 40 THz.,2026-08-17
phonon-dispersion:consistency_gap:underived-omega,phonon-dispersion,library/phonon-dispersion.md,consistency_gap,gap,speed,frequency,QSA takes the measured ω(q) as data. Force-constant models that fit the curves are not promoted to node rules. The mapping does not predict which crystal will soften.,Branch frequencies are located as the clock table but not derived from a more primitive set of node spring constants.,open,"The allowed-clock map is taken, not computed from node springs. That is a gap, not a contradiction.",,,,"ω(q) taken, not derived",medium,File-level mapping is Medium: hardware scale is not a single number; binary macros belong to related lattice entries.,2026-08-17
phonon-dispersion:emergent_output:dispersion-surface,phonon-dispersion,library/phonon-dispersion.md,emergent_output,output,output,frequency,Inelastic neutron and X-ray scattering return discrete ω(q) peaks along each branch. Acoustic long-wave slopes match measured sound speeds (Al longitudinal ≈ 6.4 km s⁻¹; Si [100] longitudinal ≈ 8.4 km s⁻¹). Zone-centre optical pins include Si 15.5 THz and diamond 40 THz.,"The stable output is the measured surface ω_s(q), its long-wave speeds v_s, and its zone-centre optical frequencies, for as long as the crystal remains ordered.",envelope,"The synchronized ion grid emits a material-typical allowed-clock map, not a single binary macro.",,,,ω_s(q); v_s; Γ optical pins (Si 15.5 THz; diamond 40 THz),high,Long-wave slope is also speed-of-sound. Do not invent a single dispersion cliff.,2026-08-17
phonon-dispersion:energy_barrier:no-latch,phonon-dispersion,library/phonon-dispersion.md,energy_barrier,requirement,barrier,energy,The harmonic restoring energy of a mode is ½ħω(2n+1) (or ½ku² classically). Softening to ω→0 is loss of that restoring constraint along one coordinate.,"This is an oscillator budget, not an activation barrier that holds a directional state. Dispersion is not a latch.",envelope,"Phonon branches are driven oscillators, not a memory. There is no static barrier holding a written mechanical state.",,,,"½ħω(2n+1) oscillator budget, not KV",high,Negative latch spec: contrast with permanent-magnet-latch.,2026-08-17
phonon-dispersion:failure_mode:clock-ceiling,phonon-dispersion,library/phonon-dispersion.md,failure_mode,failure,speed,frequency,"Driving above the highest lattice frequency produces no additional phonon mode. Zone-boundary / reststrahlen / neutron cutoff sits at the few-to-tens-of-THz class. q outside the first zone is an alias, not a new clock.",Drive faster than the last branch → no additional lattice mode.,envelope,The allowed-clock table ends at the zone-boundary maximum; faster drive is not a phonon.,min,10000000000000.0,Hz,ω above last branch (Al ~10 THz; diamond ~40 THz),high,Physical ceiling is owned here; Debye ω_D is the continuum stand-in filed under debye-cutoff.,2026-08-17
phonon-dispersion:failure_mode:grid-loss,phonon-dispersion,library/phonon-dispersion.md,failure_mode,failure,threshold,other,Loss of Bragg order ends the map. Melting or amorphization removes the discrete ω(q) branches. Finite lifetime / mean free path blurs a peak but does not erase the branch until the lattice itself fails.,The clock table is carried by the crystal. Destroy the grid and the map ends.,envelope,Melting or amorphization erases the allowed-clock table by destroying the lattice that defined q.,,,,melting / amorphization; Bragg order gone,high,Primary owner of the thermal coexistence cliff is melting.,2026-08-17
